Date Time,time (s),int,temp (degC),rh (%),lumen1 (nm),lumen2 (nm)
02.01.2009 15:50:00,239,2,20.88,40.793,171.43,556.6
02.01.2009 16:00:00,240,4,20.74,39.983,215.71,662.4
02.01.2009 16:10:00,240,1,20.48,42.332,188.57,501.4
02.01.2009 16:20:00,241,3,20.46,38.727,200.0,556.6
02.01.2009 16:30:00,243,2,20.88,40.793,178.57,565.8
02.01.2009 16:40:00,244,4,20.74,39.983,217.14,671.6
02.01.2009 16:50:00,245,3,20.46,38.727,200.0,565.8
02.01.2009 17:00:00,245,1,20.48,42.332,187.14,496.8
02.01.2009 17:10:00,247,2,20.88,40.752,172.86,561.2
02.01.2009 17:20:00,248,3,20.46,38.727,197.14,556.6
02.01.2009 17:30:00,249,4,20.74,39.983,217.14,662.4
02.01.2009 17:40:00,249,1,20.48,42.373,187.14,496.8
02.01.2009 17:50:00,251,2,20.88,40.752,172.86,556.6
02.01.2009 18:00:00,252,4,20.74,39.983,210.0,667.0
02.01.2009 18:10:00,252,1,20.47,42.332,187.14,496.8
02.01.2009 18:20:00,253,3,20.46,38.687,200.0,552.0
02.01.2009 18:30:00,255,2,20.87,40.752,172.86,561.2
02.01.2009 18:40:00,256,4,20.74,39.983,215.71,676.2
02.01.2009 18:50:00,257,1,20.47,42.332,188.57,496.8
02.01.2009 19:00:00,257,3,20.46,38.687,198.57,561.2
02.01.2009 19:10:00,259,2,20.88,40.793,172.86,561.2
02.01.2009 19:20:00,260,1,20.48,42.332,188.57,501.4
02.01.2009 19:30:00,260,4,20.74,39.983,215.71,667.0
02.01.2009 19:40:00,260,3,20.47,38.727,195.71,556.6
02.01.2009 19:50:00,263,2,20.88,40.752,175.71,556.6
02.01.2009 20:00:00,264,4,20.74,39.983,215.71,671.6
02.01.2009 20:10:00,265,3,20.46,38.727,200.0,552.0
02.01.2009 20:20:00,265,1,20.46,42.332,188.57,501.4
02.01.2009 20:30:00,267,2,20.88,40.752,171.43,556.6
02.01.2009 20:40:00,268,4,20.74,39.983,215.71,657.8
02.01.2009 20:50:00,269,3,20.46,38.727,198.57,570.4
02.01.2009 21:00:00,269,1,20.48,42.332,190.0,501.4
02.01.2009 21:10:00,270,2,20.88,40.793,174.29,556.6
02.01.2009 21:20:00,272,3,20.46,38.727,200.0,556.6
02.01.2009 21:30:00,273,1,20.48,42.332,187.14,496.8
02.01.2009 21:40:00,273,4,20.73,39.983,217.14,667.0
02.01.2009 21:50:00,275,2,20.88,40.752,174.29,556.6
02.01.2009 22:00:00,276,4,20.74,39.983,215.71,662.4
02.01.2009 22:10:00,276,1,20.48,42.332,187.14,496.8
02.01.2009 22:20:00,277,3,20.47,38.727,198.57,561.2
02.01.2009 22:30:00,279,2,20.87,40.793,172.86,556.6
02.01.2009 22:40:00,280,4,20.74,39.983,217.14,662.4
02.01.2009 22:50:00,280,1,20.48,42.332,188.57,496.8
02.01.2009 23:00:00,280,3,20.47,38.687,200.0,556.6
02.01.2009 23:10:00,282,2,20.87,40.752,171.43,556.6
02.01.2009 23:20:00,284,1,20.48,42.332,188.57,501.4
02.01.2009 23:30:00,284,3,20.47,38.687,198.57,561.2
02.01.2009 23:40:00,284,4,20.74,39.983,214.29,667.0
02.01.2009 23:50:00,287,2,20.87,40.793,171.43,552.0
03.01.2009 00:00:00,288,1,20.48,42.332,187.14,496.8
03.01.2009 00:10:00,289,3,20.47,38.687,200.0,561.2
03.01.2009 00:20:00,289,4,20.73,39.983,217.14,657.8
03.01.2009 00:30:00,290,2,20.88,40.793,172.86,565.8
03.01.2009 00:40:00,292,1,20.48,42.332,188.57,501.4
03.01.2009 00:50:00,292,3,20.46,38.687,198.57,565.8
03.01.2009 01:00:00,292,4,20.73,39.983,217.14,667.0
03.01.2009 01:10:00,295,2,20.87,40.793,174.29,556.6
03.01.2009 01:20:00,296,1,20.48,42.332,187.14,496.8
03.01.2009 01:30:00,297,3,20.47,38.687,198.57,565.8
